#format: 词条<TAB>原型ID；行首#为注释；词条内不得含空白；最短2字符
#成长原型校准 词表资产（图纸 §3.2）。内容指纹驱动重算（D-14），无人工版本号。

# ==== STRANGER ====
陌生人	STRANGER
陌生	STRANGER
素不相识	STRANGER
素昧平生	STRANGER
萍水相逢	STRANGER
路人	STRANGER
路人甲	STRANGER
陌路	STRANGER
陌路人	STRANGER
不认识	STRANGER
初次见面	STRANGER
素未谋面	STRANGER
一面之缘	STRANGER
未曾谋面	STRANGER
生面孔	STRANGER
过客	STRANGER
匆匆过客	STRANGER
擦肩而过	STRANGER
陌生面孔	STRANGER
初相识	STRANGER
刚认识	STRANGER
才认识	STRANGER
不相识	STRANGER
毫不相识	STRANGER
素不相知	STRANGER
陌客	STRANGER
生客	STRANGER
不熟的人	STRANGER
没交集	STRANGER
没什么交集	STRANGER
stranger	STRANGER
初见	STRANGER
乍见	STRANGER
偶遇的人	STRANGER
街上遇到的	STRANGER
第一次见	STRANGER
刚见过	STRANGER
不认得	STRANGER
面生	STRANGER
没印象的人	STRANGER
刚碰面	STRANGER
偶然相遇	STRANGER
相逢陌路	STRANGER
过路人	STRANGER
无交集的人	STRANGER

# ==== ACQUAINTANCE ====
点头之交	ACQUAINTANCE
泛泛之交	ACQUAINTANCE
一般关系	ACQUAINTANCE
普通关系	ACQUAINTANCE
认识的人	ACQUAINTANCE
认识而已	ACQUAINTANCE
相识	ACQUAINTANCE
面熟	ACQUAINTANCE
见过几面	ACQUAINTANCE
打过照面	ACQUAINTANCE
半熟	ACQUAINTANCE
半生不熟	ACQUAINTANCE
泛泛	ACQUAINTANCE
普通认识	ACQUAINTANCE
面子交情	ACQUAINTANCE
打过交道	ACQUAINTANCE
略微认识	ACQUAINTANCE
acquaintance	ACQUAINTANCE
见过面	ACQUAINTANCE
有点面熟	ACQUAINTANCE
认得的人	ACQUAINTANCE
眼熟的人	ACQUAINTANCE
照面之交	ACQUAINTANCE
一般交情	ACQUAINTANCE
普通交情	ACQUAINTANCE
略有耳闻	ACQUAINTANCE
有过数面	ACQUAINTANCE
数面之缘	ACQUAINTANCE
仅是认识	ACQUAINTANCE
算不上熟	ACQUAINTANCE
打过几次交道	ACQUAINTANCE
仅点头	ACQUAINTANCE
泛泛相识	ACQUAINTANCE
点头交情	ACQUAINTANCE
一般认识	ACQUAINTANCE
浅浅认识	ACQUAINTANCE
知道彼此	ACQUAINTANCE
知道名字	ACQUAINTANCE
有印象	ACQUAINTANCE
脸熟	ACQUAINTANCE
见过两面	ACQUAINTANCE
略识	ACQUAINTANCE
略熟	ACQUAINTANCE
一般般的关系	ACQUAINTANCE
认识罢了	ACQUAINTANCE

# ==== NETFRIEND ====
网友	NETFRIEND
网上认识	NETFRIEND
网络朋友	NETFRIEND
网络好友	NETFRIEND
网友关系	NETFRIEND
群友	NETFRIEND
网上的朋友	NETFRIEND
论坛认识	NETFRIEND
线上朋友	NETFRIEND
网上聊友	NETFRIEND
聊友	NETFRIEND
网上笔友	NETFRIEND
笔友	NETFRIEND
网络熟人	NETFRIEND
贴吧网友	NETFRIEND
微博网友	NETFRIEND
游戏网友	NETFRIEND
网络之交	NETFRIEND
